"NAME,ID,CS161,CS162,CS163,CS201,CS202,CS250,CS251,CS300,CS320,CS333,CS350,PPP",",CS","469,,"
"Student1,123456789,A,A,A,A,A,A,A,A-,A,A,A,""A, IP"",IP,,",,
"Student2,123456790,B+,""F, B+"",C+,""F, C+"",""D, B"",B+,B,B+,B-,F,B-,M,IP,,",,
"Student3,123456791,A,B,A,A,A,A,A,A,A-,B+,B+,""W*, B-"",IP,,",,
"Student4,123456792,,A,A,""D, A"",A-,A-,A,B+,B-,A,B+,A,IP,,",,
"Student5,123456793,A,C+,""D, C+"",B-,B,B,B,A-,B+,A,B+,""A, IP, IP"",IP,,",,
"Student6,123456794,A,B,A,A,C+,A,A,A,B+,A,A,""IP, A"",IP,,",,
"Student7,123456795,A,A,A,A,A,A,A,A,A,A,A,A,IP,,",,
"Student8,123456796,,A,A,A,A,A,A,A,A,A,A,A,IP,,",,
"Student9,123456797,A,A-,B,C+,B-,""D+, B"",""F, C+"",B+,A,A,A-,""W*, IP, A"",IP,,",,
"Student10,123456798,""A, B"",""F, B+"",C+,A,B,C,C,A,""D+, A"",C,B+,""A-, W*"",IP,,",,
"Student11,123456799,A,C,B,A,C+,B,""C-, B"",A,B-,C-,C+,""A, B+, A, B"",IP,,",,
"Student12,123456800,""B+, B"",""B+, C"",C,A,A,,,B+,A-,B,B-,""IP, A"",IP,,",,
"Student13,123456801,,A,B,""D, C"",B,C,""F, B-"",A-,""D-, D, W*, D-, F, D, IP"",""W*,","D,","C"",""F, F, D, C"",""F, IP, X, B"",IP,,"
"Student14,123456802,A,A,A,B,A-,B,A,A-,A,A,A-,A,IP,,",,
"Student15,123456803,""F, A"",A,A,A,B-,A,A,A,A-,B,A,""A, A, IP"",IP,,",,
"Student16,123456804,A,A,A,A,A,B+,A,B,A,""W*, A"",A-,""A, IP, B+, IP"",IP,,",,
"Student17,123456805,A,B,""B, B-"",A,""B, C+"",A,A,A-,A-,A,A,""A, IP, IP"",IP,,CS202",XF,ER
"Student18,123456806,,A,B,C,B+,B-,C,A,B,B,B-,A,IP,,",,
"Student19,123456807,,P,C+,""W*, D+, B+"",""W*, B-"",C,C+,B,B,C,D+,""IP, IP, B"",IP,",",",
"Student20,123456808,A,A,B,C,C,B,B,A,B-,C+,""W*, B"",B,IP,,CS202 XFER",,
"Student21,123456809,,A,B+,B-,B,B+,B,A-,B,""W*, B"",C+,A,IP,,",,
"Student22,123456810,,A,A,B,A-,B,A,A,A,A,B,""B-, A"",IP,,",,
"Student23,123456811,A-,A,B,A-,B+,A-,A,A,B+,B,A,A,IP,,",,
"Student24,123456812,A-,B-,""F, W*, W, F, RF, A"",""W*, RF, A"",B+,C,A,A,B+,""W*, A",""",A","-,""A, A-"",IP,,"
"Student25,123456813,B,A,""W*, A"",B,A,B,B-,A,B-,B+,B,B+,IP,,",,
"Student26,123456814,A,A,B,B,B+,C,B,A,A,A-,A-,""IP, A"",IP,,",,
"Student27,123456815,,A,B+,A,A,,,A,A,A,A,A,IP,,",,
"Student28,123456816,A,A,A,B-,B,B-,A-,A,B+,C+,B+,B,IP,,",,
"Student29,123456817,A,A,A,A,A,A,A,A,A,B,A,A,IP,,CS202 XFER",,
"Student30,123456818,A,B,A,B,B+,B,B,A-,B-,""F, IP"",C+,B-,IP,,",,
"Student31,123456819,A,A,A,A,A,A,A,A-,B+,B,A,B,IP,,CS202 XFER",,
"Student32,123456820,A-,B-,C+,C,B-,B+,C+,B+,C+,""D+, B-"",B-,B,IP,,",,
"Student33,123456821,A,A,A,B,A,A,B,B+,""D, B"",""F, I"",A,""A, A"",IP,,CS202 XFER",,
"Student34,123456822,A,A,A,A,A,A,B,A,A,A-,A,""IP, A, A"",IP,,CS202 XFER",,
"Student35,123456823,A,A,A,A,B+,B,B,A-,B,B-,A-,""A, A-"",IP,,",,
"Student36,123456824,B,""A, A"",B+,A,B,C,B,A-,B+,B+,B-,""IP, A-"",IP,,",,
"Student37,123456825,A,B,B,B,B-,A,B,B,A-,B,B,""A, IP"",IP,,",,
